OBJECTID,Ozone Pctl,PM 2.5 Pctl,Diesel PM Pctl,DrinkingWater Pctl,Pesticides Pctl,Tox Releases Pctl,GroundWater Threats Pctl,Asthma,Asthma Pctl,Cardiovascular Pctl,Education Pctl,Poverty Pctl,Children < 10 (%),Elderly > 65 (%),Hispanic (%),White (%),Asian American (%),Other (%),Shape_Length,Shape_Area
393,69,84,76,81,0,70,93,60.91,70,64,70,61,10.9,10.9,55.8,27.3,12.8,1.7,9629.465331,3084404.501
394,65,93,79,71,0,72,0,38.67,40,40,6,21,7,9.1,17.5,60.4,14.1,3.7,6264.411821,1132340.483
395,65,84,76,25,0,71,38,61.33,70,65,34,19,9,17.5,31.5,36.3,28.6,2.8,4682.66337,1351557.567
396,74,82,46,74,0,67,33,20.4,8,34,11,33,6.7,11.1,11.1,71.1,8.5,3.9,14378.65796,6363346.332
397,69,82,66,66,0,65,0,20.72,9,34,0,25,8.8,16.6,5.1,82.1,6.6,3,14085.3231,5116727.112
398,61,93,84,79,0,74,0,47.04,53,40,27,13,11,17.5,14.2,62.3,16.3,4,7937.068205,2772263.242
399,65,93,84,79,0,72,0,39.29,41,50,6,28,6.7,12.6,16.1,65.3,12.4,3.9,5099.844859,879132.4612
400,65,93,84,79,0,73,0,44.14,48,66,25,12,10.3,11.6,13.2,67.3,13.5,3.5,5362.729637,1282297.416
401,61,93,84,79,0,74,28,41.34,44,25,40,31,6.7,11.5,26.9,53.5,13.7,3.1,6240.884152,1502400.282
402,53,93,84,79,0,75,45,45.63,51,31,35,40,8.1,11.8,33.3,43.5,18.1,3.2,7391.175964,1776270.281
403,53,93,82,70,0,77,44,45.01,49,23,73,54,11.1,13.3,54.5,3.3,40.2,1.1,5448.864018,1133877.42
